GRB	Time [UT]	Trigger Number	BAT RA (J2000)	BAT Dec (J2000)
121108A	17:47:39	537921	83.216	54.520
121102A	02:27:02	537266	270.896	-16.951
121031A	22:50:30	537195	170.772	-3.513
121028A	05:04:31	536897	271.903	-2.298
121027A	07:32:29	536831	63.598	-58.839
121024A	02:56:12	536580	70.481	-12.255
121017A	19:23:28	536172	288.820	-1.602
121014A	20:11:56	535960	166.645	-29.105
121011A	11:15:30	535764	260.204	41.123
121001A	18:23:02	535026	276.029	-5.667
120927A	22:40:46	534815	136.606	0.420
120923A	05:16:06	534402	303.781	6.255
120922A	22:30:28	534394	234.758	-20.181
120918A	11:16:10	534015	181.042	-32.762
120913B	23:55:58	533613	213.660	-14.508
120913A	20:18:21	533568	146.400	26.959
120911A	07:08:33	533268	357.966	63.090
120909A	01:42:03	533060	275.735	-59.432
120907A	00:24:23	532871	74.736	-9.323
120819A	13:10:14	531428	235.887	-7.304
120817B	04:02:29	531259|Ground Analysis|20226	8.310	-26.428
120817A	06:49:42	531267	250.692	-38.377
120816A	19:18:34	531223	282.133	-6.981
120815A	02:13:58	531003	273.976	-52.125
120811C	15:34:52	530689	199.690	62.297
120811A	02:35:18	530581	257.184	-22.735
120807A	07:09:37	530267	241.273	-47.455
120805A	21:28:09	530031	216.536	5.853
120804A	00:54:14	529686	233.951	-28.768
120803B	11:06:06	529606	314.223	53.298
120803A	07:22:16	529582	269.531	-6.733
120802A	08:00:51	529486	44.833	13.762
120729A	10:56:14	529095	13.078	49.936
120728A	22:25:11	529021	137.085	-54.437
120724A	06:39:02	528443	245.193	3.535
120722A	12:53:26	528195	230.489	13.249
120714B	21:18:46.57	526642	355.412	-46.196
120714A	07:46:46	526593	167.975	-30.625
120712A	13:42:27	526351	169.598	-20.051
120711B	03:11:02.58	526270	331.710	59.996
120703A	17:25:22	525671	339.353	-29.726
120701A	n/a	525477	80.338	-58.531
120630A	n/a	525451	352.300	42.495
120624B	22:19:51	525068	170.886	8.933
120612A	02:05:19	524128	126.723	-17.598
120521C	23:22:07	522656	214.288	42.144
120521B	09:07:48	522586	197.016	-52.742
120521A	05:59:42	522578	148.692	-49.422
120514A	01:12:49	522197	283.002	-4.258
120422A	07:12:03	520658	136.915	13.974
120404A	12:51:02	519380	235.002	12.883
120403B	20:33:56	519256	54.302	-89.029
120403A	01:05:23	519211	42.458	40.489
120401A	05:24:15	519043	58.057	-17.658
120328A	03:06:19	518792	241.607	-39.322
120327A	02:55:16	518731	246.854	-29.415
120326A	01:20:29	518626	273.906	69.248
120324A	05:59:11	518507	291.081	24.140
120320A	11:56:15	518200	212.517	8.682
120312A	16:06:28	517566	251.812	23.881
120311B	15:08:10	517489	258.551	-13.068
120311A	05:33:38	517469	273.075	14.297
120308A	06:13:38	517234	219.123	79.674
120305A	19:37:30	516997	47.549	28.495
120302A	01:55:39	Ground Analysis|20214	122.426	29.642
120229A	14:35:11	516571	20.033	-35.796
120224A	04:39:56	515976	40.937	-17.779
120219A	14:30:08	515375	129.862	51.006
120218A	00:49:22	515277	319.7641	-25.4626
120215A	00:41:15	515015	30.057	8.790
120213A	00:27:19	514767	300.987	65.413
120212A	09:11:22	514709	43.086	-18.043
120211A	11:58:28	514586	87.781	-24.795
120121A	09:42:19	512164	249.363	-23.963
120119A	04:04:30.21	512035	120.029	-9.076
120118B	17:00:21	512003	124.862	-7.178
120116A	18:06:28	511866	16.240	33.927
120114A	16:20:09	511739|Ground Analysis	317.9043	57.0358
120106A	14:16:24	511235	66.129	64.050
120102A	02:15:55	510922	276.224	24.713
111229A	22:37:52	510736	76.561	-84.687
111228A	15:44:43	510649	150.063	18.284
111225A	03:50:37	510341	13.158	51.573
111215A	14:04:08	509717	349.582	32.440
111212A	09:23:07	509543	310.442	-68.585
111210A	14:37:03	509419	191.493	-7.173
111209A	07:12:08	509336	14.350	-46.799
111208A	08:28:11	509285|Ground Analysis|20190	290.2151	40.6686
111207A	14:16:59	Ground Analysis|20191	92.924	-39.504
111204A	13:37:28	509018	336.651	-31.414
111201A	14:22:45	508800|Ground Analysis|20188	190.4854	32.9935
111129A	16:18:14	508712	307.415	-52.722
111126A	18:57:42	Ground Analysis	276.057	51.461
111123A	18:13:21	508319	154.845	-20.639
111121A	16:26:24	508161	154.746	-46.670
111117A	12:13:41	507901	12.702	23.021
111109A	02:57:46	507342	118.248	-41.588
111107A	00:50:24	507185	129.487	-66.520
111103B	10:59:03	506903	265.691	1.605
111103A	10:35:13	506902	327.111	-10.532
111029A	09:44:40	506519	44.785	57.101
111026A	06:47:29	506291	244.256	-47.435
111022B	17:13:04	506074	108.927	49.663
111022A	16:07:04	506070	275.871	-23.666
111020A	06:33:49	505926	287.029	-38.031
111018A	17:26:24	505801	271.482	-3.880
111016A	18:37:04	505646	153.826	27.474
111008A	22:12:58	505054	60.439	-32.708
111005A	08:05:14	504779	223.315	-19.722
110928A	01:51:31	504215	257.745	36.547
110921A	13:51:20	503652	294.094	36.355
110915A	13:20:44	503219	310.830	-0.713
110827A	00:01:52	501520	164.059	53.817
110820A	17:38:27	501095	343.203	70.298
110818A	20:37:49	500914	317.373	-63.981
110808A	06:18:54	458918	57.322	-44.177
110801A	19:49:42	458521	89.415	80.958
110731A	11:09:30	458448	280.513	-28.536
