trigger_name,name          ,lii     ,bii     ,trigger_type
bn130406334 ,GRB130406334  ,240.7722, -6.8873,GRB         
bn130828319 ,UNRELOC1308283,236.3111,-16.3363,UNCERT      
bn180402481 ,GRB180402481  , 23.5807,-59.7222,GRB         
bn100311518 ,GRB100311518  , 14.6924,-29.2674,GRB         
bn091130288 ,TGF091130288  , 12.7923,-24.0413,TGF         
bn110921912 ,GRB110921912  ,221.9105,-85.4223,GRB         
bn171230955 ,GRB171230955  ,233.3960,-23.1974,GRB         
bn100207665 ,GRB100207665  , 16.0445,-33.0319,GRB         
bn130821361 ,LOCLPAR1308213,242.0233, -4.2204,LOCLPAR     
bn150417674 ,TGF150417674  , 21.4291,-50.6359,TGF         
bn161222188 ,LOCLPAR1612221,322.5079, 32.3023,LOCLPAR     
bn130821430 ,LOCLPAR1308214,242.0018, -4.2249,LOCLPAR     
bn121012817 ,TGF121012817  , 18.5205,-40.3590,TGF         
bn130209961 ,GRB130209961  ,219.1261,-71.6035,GRB         
bn110920546 ,GRB110920546  ,320.8789, 32.9364,GRB         
bn150118927 ,GRB150118927  ,270.3657, 26.8996,GRB         
bn101002279 ,GRB101002279  , 20.5739,-46.3087,GRB         
bn110312222 ,LOCLPAR1103122,246.3730,  3.5554,LOCLPAR     
bn180210991 ,GRB180210991  ,241.6849, -4.2621,GRB         
bn160419637 ,GRB160419637  ,217.6229,-86.8235,GRB         
bn141013086 ,TGF141013086  , 26.8151,-67.8812,TGF         
bn180423266 ,GRB180423266  ,230.3070,-29.9717,GRB         
bn150831930 ,GRB150831930  ,  3.5109, -2.6641,GRB         
bn081028538 ,GRB081028538  ,215.1195,-87.2050,GRB         
bn161114056 ,TGF161114056  ,  1.3714,  1.0853,TGF         
bn150809596 ,TGF150809596  , 18.1076,-36.9465,TGF         
bn110318280 ,UNCERT11031828,222.6406,-53.1037,UNCERT      
bn160925925 ,LOCLPAR1609259,235.7634,-15.5226,LOCLPAR     
bn160311881 ,LOCLPAR1603118, 30.2738,-77.9033,LOCLPAR     
bn140304849 ,GRB140304849  , 28.9857,-73.3833,GRB         
bn100619015 ,GRB100619015  ,231.0618,-27.0838,GRB         
bn100101028 ,GRB100101028  , 16.7196,-32.3684,GRB         
bn140907429 ,GRB140907429  ,273.2641, 29.0966,GRB         
bn160501445 ,TGF160501445  ,300.9972, 35.8620,TGF         
bn110509475 ,GRB110509475  ,228.0177,-35.5757,GRB         
bn140405033 ,GRB140405033  ,244.0179,  0.9030,GRB         
bn101117496 ,GRB101117496  ,223.0543,-50.7129,GRB         
bn170309801 ,TGF170309801  ,220.1226,-60.5863,TGF         
bn110316205 ,DISTPAR1103162,239.4771, -7.1199,DISTPAR     
bn100225374 ,TGF100225374  ,  9.4435,-13.4642,TGF         
bn110522633 ,GRB110522633  ,289.5585, 34.7819,GRB         
bn110806242 ,LOCLPAR1108062,304.7994, 36.0772,LOCLPAR     
bn100816009 ,GRB100816009  ,236.7290,-12.4075,GRB         
bn180709099 ,GRB180709099  , 23.3141,-51.2529,GRB         
bn171013350 ,GRB171013350  ,280.0269, 32.3639,GRB         
bn180720933 ,GRB180720933  ,  1.6080,  1.7877,GRB         
bn131006367 ,GRB131006367  , 22.3210,-47.9088,GRB         
bn090510016 ,GRB090510016  , 24.6062,-55.1187,GRB         
bn130316390 ,TGF130316390  ,322.6623, 33.4596,TGF         
bn101017619 ,GRB101017619  ,213.7185,-76.9579,GRB         
bn180313978 ,GRB180313978  , 20.2283,-41.0314,GRB         
bn160428412 ,GRB160428412  ,213.8770,-76.3141,GRB         
bn100325275 ,GRB100325275  , 23.9022,-52.1390,GRB         
bn150629564 ,GRB150629564  , 17.4437,-32.4942,GRB         
bn160218711 ,GRB160218711  ,215.4816,-71.7341,GRB         
bn170621784 ,GRB170621784  ,227.8007,-34.2169,GRB         
bn120817168 ,GRB120817168  , 41.6836,-85.8787,GRB         
bn161101874 ,TGF161101874  ,217.2088,-66.0158,TGF         
bn110701642 ,TGF110701642  ,233.7977,-18.1616,TGF         
bn160101126 ,DISTPAR1601011,231.5887,-23.5589,DISTPAR     
bn170810505 ,TGF170810505  ,220.1889,-56.4998,TGF         
bn170926782 ,GRB170926782  , 28.2853,-64.3633,GRB         
bn180218522 ,TGF180218522  ,349.4498, 17.9795,TGF         
bn170825307 ,GRB170825307  ,  5.9282, -4.8273,GRB         
bn130211721 ,TGF130211721  ,219.8022,-57.1152,TGF         
bn090828099 ,GRB090828099  ,245.9279,  5.2899,GRB         
bn130925164 ,GRB130925164  ,217.1823,-64.7151,GRB         
bn130925173 ,GRB130925173  ,217.1823,-64.7151,GRB         
bn120608489 ,GRB120608489  ,339.9626, 25.8761,GRB         
bn120920003 ,GRB120920003  ,211.6419,-77.2187,GRB         
bn180128215 ,GRB180128215  , 95.2669,-88.8405,GRB         
bn170908867 ,DISTPAR1709088,  3.3617,  0.0385,DISTPAR     
bn131008858 ,GRB131008858  , 24.0308,-50.0723,GRB         
bn140813479 ,TGF140813479  ,345.3712, 22.0270,TGF         
bn140905454 ,GRB140905454  , 27.8338,-61.1042,GRB         
bn140628626 ,GRB140628626  ,336.8883, 28.1550,GRB         
bn171102736 ,UNCERT17110273, 13.0650,-19.1843,UNCERT      
bn120908938 ,GRB120908938  ,340.7098, 25.7830,GRB         
bn111123275 ,TGF111123275  ,290.5228, 36.0304,TGF         
bn171004672 ,GRB171004672  ,228.9265,-28.7423,GRB         
bn100421917 ,GRB100421917  , 32.1255,-70.1041,GRB         
bn081021398 ,GRB081021398  ,300.0333, 37.2141,GRB         
bn150202235 ,TGF150202235  ,224.8646,-39.4489,TGF         
bn150815604 ,GRB150815604  , 12.5248,-17.1755,GRB         
bn110107970 ,SGR110107970  ,  4.8439, -1.5003,SGR         
bn170916333 ,LOCLPAR1709163,249.3407, 11.1616,LOCLPAR     
bn160612842 ,GRB160612842  , 31.9399,-67.9957,GRB         
bn131021352 ,GRB131021352  , 25.3358,-50.9249,GRB         
bn151111107 ,TGF151111107  ,225.6924,-36.0685,TGF         
bn170514180 ,GRB170514180  ,244.0948,  4.0302,GRB         
bn180420107 ,GRB180420107  ,228.7340,-27.7052,GRB         
bn170405777 ,GRB170405777  ,331.6824, 31.5408,GRB         
bn170430047 ,LOCLPAR1704300,225.5365,-36.2862,LOCLPAR     
bn130611538 ,GRB130611538  ,347.2577, 21.4133,GRB         
bn140311453 ,GRB140311453  ,214.2514,-66.4707,GRB         
bn090904058 ,GRB090904058  ,  2.1219,  3.6410,GRB         
bn110725236 ,GRB110725236  ,  4.9075, -0.9650,GRB         
bn100922625 ,GRB100922625  , 37.1076,-75.6258,GRB         
bn090908341 ,GRB090908341  ,282.2320, 34.7140,GRB         
bn130907760 ,GRB130907760  ,345.7653, 22.8648,GRB         
bn121028280 ,GRB121028280  ,218.7867,-54.4347,GRB         
bn140109877 ,GRB140109877  ,203.8023,-79.7059,GRB         
bn160910978 ,TGF160910978  ,359.9897,  7.1842,TGF         
bn090909854 ,GRB090909854  ,219.2512,-52.9925,GRB         
bn120619884 ,GRB120619884  ,300.5007, 37.8117,GRB         
